embedding_layer,transformer_layer_0,transformer_layer_1,transformer_layer_2,transformer_layer_3,transformer_layer_4,transformer_layer_5,transformer_layer_6,transformer_layer_7,transformer_layer_8,transformer_layer_9,transformer_layer_10,transformer_layer_11,FC_layer
5637120,122810368,122550272,122550272,122550272,122550272,122550272,122550272,122550272,122550272,122550272,122550272,122550272,5651968
9553920,245766144,245766144,245766144,245766144,245766144,245766144,245766144,245766144,245766144,245766144,245886976,246007808,9699840
14269440,435516928,435516928,435516928,436338176,438801920,438801920,437980672,435516928,435516928,435516928,435516928,435516928,14306816
4456448,69556224,68528128,68528128,68528128,68528128,68528128,68528128,68528128,68528128,69433344,68528128,69433344,3511296
5237760,111801856,111822336,111822336,111822336,111822336,111822336,111822336,111801856,111760896,111791616,111842816,111791616,5251584
7434240,175208448,175208448,175208448,175208448,175208448,175208448,175208448,175208448,176375808,176375808,175986688,176375808,7842816
5836800,128428032,128690176,128690176,128690176,128690176,128690176,128337920,128600064,128337920,128075776,128600064,128337920,5852160
9553920,245766144,245766144,245766144,245766144,245766144,245766144,245766144,245766144,245766144,245766144,245886976,246007808,9699840
13777920,413626880,413626880,413626880,413626880,413626880,413626880,413626880,413626880,413626880,413626880,413626880,413626880,13814272
8908800,223324160,223324160,223324160,223324160,223324160,223324160,223324160,223324160,223324160,223324160,223324160,223324160,8932352
15728640,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,15769600
15728640,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,15769600
7034880,162938368,162938368,162938368,162938368,162938368,162938368,162938368,162938368,162938368,162938368,162938368,162938368,7053312
4456448,89178112,89178112,89178112,89178112,89178112,89178112,89178112,89178112,89178112,89178112,89178112,89260032,4374016
5099520,109793280,110366720,110366720,110366720,110366720,110366720,110366720,109793280,108646400,108550144,108550144,108072960,5112832
8156160,198212608,198212608,198212608,198212608,198212608,198212608,198212608,198212608,198212608,198212608,198212608,198212608,8177664
4592640,94963200,94963200,94963200,94963200,94963200,94963200,94963200,94963200,94963200,94963200,94963200,94963200,4604928
15728640,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,15769600
5975040,131950592,131950592,131950592,131950592,131950592,131950592,131950592,131950592,131950592,131950592,131950592,131950592,5990912
4456448,68224512,68275712,68326912,68275712,68275712,68326912,68275712,68275712,68326912,68275712,68173312,68173312,3495936
4456448,72231936,71526400,71526400,71526400,71526400,71526400,71526400,71526400,71028224,71994880,71994880,71511552,3619328
8048640,194719744,194719744,194719744,194719744,194719744,194719744,194719744,194719744,194719744,194719744,194719744,194719744,8069632
8371200,205270528,205270528,205270528,205270528,205270528,205270528,205270528,205270528,205270528,205270528,205270528,205270528,8393216
9722880,251782656,251782656,251782656,251782656,251782656,251782656,251782656,251782656,251782656,251782656,251782656,251782656,9748480
8724480,217150464,218233856,217232384,218233856,217232384,218233856,217232384,218233856,217232384,218233856,217232384,218233856,8829440
7772160,185844224,185844224,185844224,185844224,185844224,185844224,185844224,185844224,185844224,185844224,185844224,185844224,7792640
4456448,89943040,89943040,89943040,89943040,89943040,89943040,90886144,90886144,90886144,90886144,89943040,89943040,4404736
2565120,48200192,48200192,48200192,48650752,47749632,48650752,48650752,48200192,48650752,48200192,48200192,48650752,2572288
11534336,304979456,304979456,304979456,304979456,304979456,304979456,304979456,304979456,304979456,304979456,304979456,304979456,11180544
7372800,173545472,173545472,173545472,173545472,173545472,173545472,173545472,173545472,173545472,175183872,176003072,175183872,8211456
15728640,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,15769600
5575680,121249280,120866304,120866304,120866304,120866304,120866304,120866304,120866304,120866304,120866304,120866304,120866304,5590528
4961280,104446464,104446464,104446464,104446464,104446464,104446464,104446464,104446464,104446464,104446464,104446464,104446464,4974592
5268480,113557504,112560128,112560128,112560128,112560128,112560128,112560128,112560128,112560128,112560128,112560128,112560128,5282304
7265280,170576384,170576384,170576384,170576384,170576384,170576384,169978368,169978368,169978368,169978368,169978368,169978368,7284224
4700160,97699840,97699840,97699840,97699840,97699840,97699840,97699840,97699840,97699840,97699840,98426880,98426880,4712448
12165120,345248768,345248768,345248768,345248768,345248768,345248768,345248768,345248768,345248768,345248768,345248768,345248768,12196864
4456448,90326528,90326528,90326528,90326528,90326528,90326528,91101184,91101184,91101184,91101184,90326528,90326528,4420096
7603200,180498432,180498432,180498432,180498432,180498432,180498432,180498432,180498432,180498432,180498432,180498432,180498432,7623168
6481920,146485760,146485760,146485760,146485760,146485760,146485760,147059200,147059200,147059200,147059200,147059200,147059200,6498816
7342080,173084672,173084672,173084672,173084672,173084672,173084672,173084672,173084672,173084672,175153152,176187392,175153152,8395776
15728640,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,15769600
4684800,97307648,97307648,97307648,97307648,97307648,97307648,97307648,97307648,97307648,97307648,98203648,98203648,4697088
5237760,111801856,111822336,111822336,111822336,111822336,111822336,111822336,111801856,111760896,111791616,111842816,111791616,5251584
15728640,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,15769600
6558720,148733440,148733440,148733440,148733440,148733440,148733440,148733440,148733440,148733440,148733440,148733440,148733440,6576128
8939520,224373248,224373248,224373248,224373248,224373248,224373248,224373248,224373248,224373248,224373248,224373248,224373248,8963072
15728640,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,15769600
9231360,234439168,234439168,234439168,234439168,234439168,234439168,234439168,234439168,234439168,234439168,234439168,234439168,9255424
15728640,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,15769600
5299200,115111936,114176000,114176000,114176000,113381888,113381888,113381888,113381888,113381888,113381888,113381888,113381888,5313024
8401920,206286336,206286336,206286336,206286336,206286336,206286336,206286336,206286336,206286336,206286336,206286336,206286336,8423936
14469120,444549120,444549120,444549120,444549120,445814784,445814784,445814784,445814784,444549120,444549120,444549120,444549120,14507008
12149760,344623104,344623104,344623104,344623104,344623104,344623104,344623104,344623104,344623104,344623104,344623104,344623104,12181504
4500480,93003776,93003776,93003776,93003776,93003776,93003776,92636160,92636160,92636160,92636160,92957696,92636160,4512256
6236160,139767808,139767808,139767808,139767808,139767808,139767808,139767808,139767808,139767808,139767808,139767808,139767808,6252544
4654080,96524288,96524288,96524288,96524288,96524288,96524288,96524288,96524288,96524288,96524288,96524288,96524288,4666368
4456448,83058688,83908608,83908608,83908608,83908608,83908608,83908608,83058688,82548736,81698816,80886272,82511360,4035072
