batch_size,input_length,embedding_layer,block_0_ln_1,block_0_attn,block_0_ln_2,block_0_mlp,block_1_ln_1,block_1_attn,block_1_ln_2,block_1_mlp,block_2_ln_1,block_2_attn,block_2_ln_2,block_2_mlp,block_3_ln_1,block_3_attn,block_3_ln_2,block_3_mlp,block_4_ln_1,block_4_attn,block_4_ln_2,block_4_mlp,block_5_ln_1,block_5_attn,block_5_ln_2,block_5_mlp,block_6_ln_1,block_6_attn,block_6_ln_2,block_6_mlp,block_7_ln_1,block_7_attn,block_7_ln_2,block_7_mlp,block_8_ln_1,block_8_attn,block_8_ln_2,block_8_mlp,block_9_ln_1,block_9_attn,block_9_ln_2,block_9_mlp,block_10_ln_1,block_10_attn,block_10_ln_2,block_10_mlp,block_11_ln_1,block_11_attn,block_11_ln_2,block_11_mlp,FC_layer
3,131,3810304,2101248,15859200,2101248,29646848,2101248,16710144,2101248,30497792,1420288,15139328,1420288,29607936,1211392,13359616,1211392,28114944,1420288,13065728,1211392,27171840,1768448,15569408,1211392,26021888,1880064,15061504,2031616,25353216,1211392,14751232,2031616,25353216,1211392,13931008,2031616,25353216,1211392,13931008,1211392,25863168,1211392,12600832,1211392,25863168,1211392,13620736,1211392,25353216,1211392
3,551,11980800,5091328,84968448,5091328,109935616,5091328,84646912,5091328,109935616,5091328,84646912,5091328,109935616,5091328,84646912,5091328,109935616,5091328,84646912,5091328,109935616,5091328,84646912,5091328,109935616,5091328,84646912,5091328,109935616,5091328,84646912,5091328,109935616,5091328,84646912,5091328,109935616,5091328,84646912,5091328,107957248,5091328,84646912,5091328,106638336,5091328,84646912,5091328,106638336,5091328
3,738,16328704,6969344,136257024,7523328,143819776,7523328,136257024,7523328,143533056,7523328,136903168,7778304,143788032,7523328,134344192,6819840,142829568,6819840,133385728,6819840,142829568,6819840,133385728,6819840,142829568,6819840,133385728,6819840,142829568,6819840,133385728,6819840,142829568,6819840,133385728,6819840,142829568,6819840,133385728,6819840,142829568,6819840,133385728,6819840,142829568,6819840,133385728,6819840,142829568,6819840
3,992,21644288,9166848,216729088,9166848,191987712,9166848,216729088,9166848,191987712,9166848,216729088,9166848,191987712,9166848,216729088,9166848,192249856,9166848,216991232,9166848,192512000,9166848,216991232,9166848,192512000,9166848,216991232,9166848,191987712,9166848,216729088,9166848,191987712,9166848,216729088,9166848,191987712,9166848,217908736,9756672,191987712,9166848,217908736,9756672,191987712,9166848,217908736,9756672,191987712,9166848
3,623,13697024,5815296,104273920,5756928,121084928,6405120,102212608,5756928,120572928,5756928,102212608,5756928,120572928,5756928,102212608,5756928,120572928,5756928,102212608,5756928,120572928,5756928,102212608,5756928,121225216,6409216,103568384,5756928,121225216,5756928,104821760,5756928,121225216,6409216,104821760,5756928,120572928,6409216,102212608,5756928,120572928,5756928,102212608,5756928,120572928,5756928,102212608,5756928,120572928,5756928
3,444,10243072,4307968,62652416,4307968,86134784,4307968,62447616,4410368,85929984,4103168,62447616,5061632,85929984,4103168,63545344,5061632,85929984,4103168,63545344,5061632,85929984,4103168,63545344,5061632,85929984,4103168,63545344,5061632,86441984,4103168,64057344,4103168,86441984,4615168,65081344,5061632,86441984,4615168,64122880,4103168,86441984,4615168,65081344,5061632,86441984,4615168,64122880,4410368,86441984,4615168
3,568,13073408,5249024,88658944,5249024,110092288,5249024,88658944,5249024,110092288,5249024,88658944,5249024,110092288,5249024,88658944,5249024,110092288,5249024,88658944,5249024,109961216,5249024,88658944,5249024,109928448,5249024,88658944,5249024,109928448,5249024,88658944,5249024,109928448,5249024,88658944,5249024,110697472,5249024,89427968,5249024,110697472,6018048,89427968,5249024,110697472,6018048,88658944,5249024,110697472,6018048
3,646,14745600,6340608,111007744,6340608,125394944,6340608,110266368,5969920,125024256,5969920,109154304,5969920,125024256,5969920,109154304,5969920,125024256,5969920,109154304,5969920,125024256,5969920,109154304,5969920,125024256,5969920,109154304,5969920,125024256,5969920,109154304,5969920,125024256,6636544,109820928,5969920,125690880,6636544,111154176,5969920,125700096,6636544,111181824,5969920,125700096,6645760,111181824,5969920,125700096,6645760
3,714,15726592,6597632,127048704,6597632,140068864,6597632,127048704,6597632,138184704,6597632,127048704,6597632,138184704,6597632,127048704,6597632,138184704,6597632,127048704,6597632,138184704,6597632,127048704,6597632,138184704,6597632,127048704,6597632,138184704,6597632,127048704,6597632,138184704,6597632,127048704,6597632,138827264,7240192,127048704,6597632,138330624,6743552,127340544,6743552,138827264,6597632,127983104,6597632,138330624,6743552
3,267,5895168,2544640,31468544,3046400,51953664,2747392,32019456,2467840,51953664,2747392,30602240,2467840,51674112,2467840,30023680,2467840,51674112,2467840,30023680,2467840,51674112,2467840,30023680,2467840,51674112,2467840,30023680,2467840,51674112,2467840,30023680,2467840,51674112,2467840,30336000,2747392,51674112,2467840,32088064,3500032,51674112,2467840,32088064,3500032,51674112,2467840,32088064,3500032,51674112,2467840
