embedding_layer,transformer_layer_0,transformer_layer_1,transformer_layer_2,transformer_layer_3,transformer_layer_4,transformer_layer_5,transformer_layer_6,transformer_layer_7,transformer_layer_8,transformer_layer_9,transformer_layer_10,transformer_layer_11,FC_layer
8348672,121106944,120954368,122403328,122174976,122174976,121793024,121030144,120954368,121030144,120954368,121030144,120954368,10240
10951680,164673024,164673024,164673024,164673024,164673024,164673024,164673024,164673024,164673024,164673024,164673024,164673024,13312
20534272,344858112,344858112,344858112,344858112,344858112,344858112,344858112,344858112,344858112,344858112,344858112,344858112,24064
34611200,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,40960
18291200,293628928,293628928,293628928,293628928,293628928,293628928,293628928,293628928,293628928,293628928,293628928,293628928,21504
34611200,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,40960
9997824,132967424,133899264,133899264,132501504,132687872,132687872,133340160,133340160,133340160,133340160,133340160,133340160,10752
17737728,283047936,283047936,283047936,283047936,282126336,282126336,282126336,282126336,282126336,282126336,282494976,283232256,20480
18321920,294312960,294312960,294312960,294312960,294312960,294312960,294312960,294312960,294312960,294312960,294312960,294312960,21504
21455872,366655488,366655488,366655488,366655488,366655488,366655488,366655488,366655488,366655488,366655488,366655488,366655488,25600
25586688,463737856,463737856,463737856,463737856,463737856,463737856,463737856,463737856,463737856,463737856,463737856,463737856,30720
13694464,212496896,212496896,212496896,212496896,212496896,212496896,212496896,212496896,212496896,213003776,213510656,215031296,16384
16521216,261419008,261419008,261419008,261419008,263503872,265588736,262453248,263487488,265555968,262453248,263487488,265555968,19456
15925248,242847232,243318272,242611712,243082752,243082752,242376192,242376192,242376192,242376192,242376192,242376192,242376192,18432
34611200,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,40960
19924480,318571008,320425472,320968192,320425472,320968192,320425472,320968192,319882752,319340032,318797312,318797312,318797312,22528
20687872,348460544,348460544,348460544,348460544,348460544,348460544,348460544,348460544,348460544,348460544,348460544,348460544,24576
9991680,132205056,133444096,133396992,131538432,131213824,133815808,131213824,132948480,133815808,131213824,132948480,133815808,10752
15402496,235282432,233244672,234263552,236301312,233244672,233244672,233244672,232225792,232225792,232225792,232225792,232225792,17408
7030784,100905984,99902464,100107264,100811776,102622208,102523904,102523904,102523904,101819392,101913600,101721088,101721088,8704
